Groep,Geslacht,Leeftijd,Lengte,Gewicht,Profiel,Woonsituatie,Reistijd,Vervoermiddel,TijdStudie,TevTijdStudie,CijferStudie,Bijbaan,TijdBijbaan,StudLeven,SocialMedia,TijdSocialMedia,ManierSocialMedia,CijferLeven,TijdBachelor,OP1,OP2,OP3,CON1,CON2,CON3,OP4,CON4,OP5,CON5,OP6,OP7,CON6,CON7,OP8,CON8,OP9,CON9,OP10,CON10,CON,OP
4,1,22,187,80,2,3,60,4,40,2,8,1,4,3,"Facebook, LinkedIn",1,"Computer / Laptop, Telefoon",6,4,1,2,3,2,3,5,4,1,3,1,5,5,4,4,3,2,1,4,2,4,38,39
4,1,17,183,82,3,1,20,2,20,4,7,1,3,3,"Facebook, Twitter, Snapchat, Whatsapp",2,"Computer / Laptop, Telefoon",8,3,4,2,5,4,2,4,4,1,5,5,2,5,4,5,1,5,3,3,2,5,24,33
4,1,20,184,80,4,1,45,5,24,3,6,2,1,3,"Facebook, Snapchat",3,"Computer / Laptop, Telefoon",7,3,5,3,3,3,2,5,2,1,3,2,1,4,4,2,4,2,2,5,2,3,39,27
4,1,18,182,67,2,1,80,5,25,3,7,1,3,1,"Facebook, Twitter, Instagram, Snapchat, Google+",3,"Computer / Laptop, Telefoon, Tablet",8,4,5,2,3,4,3,4,3,2,3,4,1,4,3,4,3,5,2,4,2,4,27,28
3,1,22,174,64,4,1,73,5,40,3,7,2,1,3,"Facebook, Instagram",2,"Computer / Laptop, Telefoon",8,3,3,4,3,2,3,4,3,2,3,2,4,3,5,3,4,2,3,4,1,3,38,33
3,1,19,190,71,2,1,45,5,35,2,7,2,1,4,"Facebook, Instagram, Snapchat",4,"Computer / Laptop, Telefoon",8,4,1,4,2,2,2,3,4,3,4,2,3,3,3,4,3,4,3,2,2,3,28,37
4,1,19,185,79,2,2,20,4,25,3,7,2,1,1,"Facebook, Twitter, Instagram, Snapchat, Google+, Whatsapp",4,"Computer / Laptop, Telefoon, Tablet",10,3,5,3,4,3,3,4,1,2,3,3,2,1,4,3,1,5,3,3,3,3,31,24
1,1,19,180,70,3,1,100,5,30,4,7,2,1,1,"Twitter, Snapchat",2,Telefoon,9,3,1,4,2,2,2,2,4,1,4,2,4,5,3,3,1,5,1,3,2,5,28,44
4,1,21,194,80,4,1,35,1,12,1,7,1,4,3,"Facebook, Twitter",3,"Computer / Laptop, Telefoon, Tablet",6,4,5,2,5,2,4,3,1,2,3,2,1,2,2,2,4,4,1,3,5,3,33,19
3,1,19,181,72,2,4,5,2,10,2,7,1,4,4,"Facebook, Twitter, Instagram",4,"Computer / Laptop, Telefoon",8,3,2,3,3,5,1,3,2,2,3,3,2,4,2,4,3,3,2,1,2,5,21,32
4,1,27,182,85,2,6,25,3,15,3,7,2,3,3,Facebook,1,Telefoon,7,3,2,4,2,2,2,4,2,2,3,2,4,4,4,2,2,2,4,3,2,2,37,35
4,1,21,180,80,2,1,60,4,8,3,7,1,4,2,"Facebook, LinkedIn",1,Telefoon,8,0,4,4,2,2,3,4,1,2,3,2,2,2,4,2,2,3,4,3,3,3,36,27
3,1,20,166,80,2,3,30,2,10,3,7,1,2,4,"Facebook, Instagram, Snapchat, Tumblr, Soundcloud",4,"Computer / Laptop, Telefoon",8,4,3,2,3,4,4,2,5,2,3,3,2,4,3,4,3,3,1,4,3,5,28,33
3,1,18,190,78,2,1,90,5,30,4,7,2,1,3,Facebook,1,"Computer / Laptop, Telefoon",7,3,2,5,3,2,3,4,1,2,3,1,1,1,2,1,1,4,5,3,2,1,37,28
3,1,18,196,65,4,1,45,4,10,4,8,1,3,4,"Facebook, Twitter, Instagram, Snapchat",2,"Computer / Laptop, Telefoon",8,3,5,2,4,4,4,5,2,1,3,4,1,4,4,4,2,4,2,3,4,2,33,25
